"","X","age","agency1","agency2","agency3","agency4","agency5","agency6","agency7","artKnowledge","attCheck","controlQ1","controlQ2","controlQ3","controlQ4","controlQ5","controlQ6","csKnowledge","education","gender","img0","img0Eval","img1","img1Eval","img2","img2Eval","img3","img3Eval","img4","img4Eval","img5","img5Eval","img6","img6Eval","img7","img7Eval","img8","img8Eval","img9","img9Eval","income","patiency1","patiency2","patiency3","patiency4","patiency5","patiency6","patiency7","politics","previousStudy","prolificId","race","sessionId","studyId","times","treatment","attCheckEnd","consentEnd","demographicsEnd","introEnd","study0End","studyEnd","openEnded","agency1V","agency2V","agency3V","agency4V","agency5V","agency6V","agency7V","agencyV","patiency1V","patiency2V","patiency3V","patiency4V","patiency5V","patiency6V","patiency7V","patiencyV","img10EvalV","img1EvalV","img7EvalV","img5EvalV","img8EvalV","img6EvalV","img9EvalV","img2EvalV","img3EvalV","img4EvalV","evalV","control1V","control2V","control3V","control4V","control5V","control6V","control","ageV"
"27",28,1955,"Somewhat","Somewhat","Moderately","Somewhat","Somewhat","Moderately","Moderately",1,"Strongly Disagree","Neither Agree nor Disagree","Somewhat Disagree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree",0,"Bachelor's degree or lower","Female",5,100,4,100,6,100,3,100,10,100,7,100,1,100,2,100,9,100,8,100,"$40,000-$59,999","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Slightly","Liberal","No","5c0c458f07028b0001f6f685","Caucasian","605031e9f751313687c2b35b","605012aa337705b7329e7998","{'attCheckEnd': 237188, 'consentEnd': 48323, 'demographicsEnd': 301710, 'introEnd': 61397, 'study0End': 164444, 'studyEnd': 224250}","post",237188,48323,301710,61397,164444,224250,"The images were generated by an AI, so not valuable in that sense, as I believe that it is human emotion and skill that sets the masterful artworks apart from the rest, but everyone has different taste in art, so they all have some validity. ",2,2,3,2,2,3,3,2.33333333333333,0,0,0,0,0,0,1,0,100,100,100,100,100,100,100,100,100,100,100,2,1,2,4,2,2,2.16666666666667,66
"28",29,1965,"Extremely","Extremely","Extremely","Extremely","Extremely","Moderately","Extremely",0,"Strongly Disagree","Strongly Disagree","Neither Agree nor Disagree","Somewhat Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Disagree",0,"Some college","Male",9,2400,5,2200,1,5600,7,3800,6,4900,2,4300,3,5500,8,4900,4,6200,10,5900,"Less than $20,000","Extremely","Moderately","Moderately","Moderately","Moderately","Moderately","Extremely","Liberal","No","5c29b88810677f0001dc2c56","Caucasian","6050553ddc155709dae20bfa","605012aa337705b7329e7998","{'attCheckEnd': 581555, 'consentEnd': 12948, 'demographicsEnd': 757252, 'introEnd': 46957, 'study0End': 444079, 'studyEnd': 552481}","post",581555,12948,757252,46957,444079,552481,"I thought that the images were highly professional.",4,4,4,4,4,3,4,3.83333333333333,4,3,3,3,3,3,4,3.16666666666667,5900,5600,3800,2200,4900,4900,2400,4300,5500,6200,4570,0,2,1,2,2,1,1.33333333333333,56
"29",30,1983,"Not at all","Not at all","Not at all","Slightly","Slightly","Not at all","Not at all",0,"Strongly Agree","Neither Agree nor Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree",0,"Bachelor's degree or lower","Male",3,700,6,3700,9,2400,8,5500,1,1300,5,6800,10,6700,4,5900,2,4300,7,1300,"$20,000-$39,999","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat","Liberal","No","5c2c6e432c45d400014a35e3","Caucasian","60505520c1683bdba6a7bbf0","605012aa337705b7329e7998","{'attCheckEnd': 422176, 'consentEnd': 15702, 'demographicsEnd': 496973, 'introEnd': 134631, 'study0End': 168079, 'studyEnd': 244543}","pre",422176,15702,496973,134631,168079,244543,"impressive for AI",0,0,0,1,1,0,0,0.333333333333333,0,0,0,0,0,0,2,0,6700,1300,1300,6800,5500,3700,2400,4300,700,5900,3860,2,0,0,4,0,0,1,38
"30",31,1987,"Moderately","Not at all","Moderately","Moderately","Slightly","Slightly","Slightly",0,"Strongly Agree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree",0,"Graduate degree","Male",3,1200,7,400,2,2500,6,5900,8,7600,9,3900,5,3200,4,700,10,1300,1,6300,"$40,000-$59,999","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Liberal","No","5c437a79d1aeaa0001c68524","Caucasian","60501f5f85e377179c31898d","605012aa337705b7329e7998","{'attCheckEnd': 217729, 'consentEnd': 8418, 'demographicsEnd': 299884, 'introEnd': 36756, 'study0End': 97471, 'studyEnd': 195087}","pre",217729,8418,299884,36756,97471,195087,"For the most they seemed like they could pass as human created art - a couple of the images were really not the best.",3,0,3,3,1,1,1,1.83333333333333,0,0,0,0,0,0,0,0,1300,6300,400,3200,7600,5900,3900,2500,1200,700,3300,0,0,1,1,0,1,0.5,34
"31",32,1991,"Somewhat","Moderately","Somewhat","Not at all","Somewhat","Moderately","Somewhat",1,"Strongly Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree",0,"Bachelor's degree or lower","Male",4,3500,1,8300,8,7500,3,8400,7,5200,10,5900,9,8800,2,9400,6,6500,5,5200,"$60,000-$79,999","Slightly","Not at all","Not at all","Slightly","Not at all","Not at all","Somewhat","Moderate","No","5c5684ef9d244c0001b29f1e","Asian","605040e686eebf9ae5cd9929","605012aa337705b7329e7998","{'attCheckEnd': 96895, 'consentEnd': 5995, 'demographicsEnd': 134482, 'introEnd': 18142, 'study0End': 65071, 'studyEnd': 88161}","post",96895,5995,134482,18142,65071,88161,"",2,3,2,0,2,3,2,2,1,0,0,1,0,0,2,0.333333333333333,5900,8300,5200,5200,7500,6500,8800,9400,8400,3500,6870,3,1,1,0,0,0,0.833333333333333,30
"32",33,1977,"Somewhat","Somewhat","Not at all","Somewhat","Not at all","Slightly","Moderately",0,"Strongly Disagree","Neither Agree nor Disagree","Strongly Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree",0,"High school or lower","Male",5,2500,10,1200,7,6000,1,5500,8,500,3,1200,6,1600,2,2000,9,5000,4,500,"$60,000-$79,999","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Slightly","Liberal","No","5c616465b672de0001fd3ac6","Caucasian","6050421d794a453f782c9d49","605012aa337705b7329e7998","{'attCheckEnd': 159095, 'consentEnd': 5032, 'demographicsEnd': 218546, 'introEnd': 38328, 'study0End': 92723, 'studyEnd': 151408}","post",159095,5032,218546,38328,92723,151408,"I thought most of them looked pretty cool but then I know very little about art.",2,2,0,2,0,1,3,1.16666666666667,0,0,0,0,0,0,1,0,1200,5500,6000,2500,500,1600,5000,2000,1200,500,2600,2,0,2,2,1,1,1.33333333333333,44
"33",34,1968,"Extremely","Not at all","Not at all","Somewhat","Not at all","Not at all","Moderately",0,"Strongly Disagree","Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Disagree",0,"Bachelor's degree or lower","Male",4,10000,10,8700,8,6000,1,10000,7,4800,2,7200,9,3500,3,5100,6,7200,5,9500,"Less than $20,000","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat liberal","No","5c6f97ffd8ae4f000192fe18","Hispanic","605032c9de220ee2a7ddb385","605012aa337705b7329e7998","{'attCheckEnd': 242707, 'consentEnd': 16468, 'demographicsEnd': 308852, 'introEnd': 44523, 'study0End': 178155, 'studyEnd': 230141}","post",242707,16468,308852,44523,178155,230141,"Interesting how big the eyes were in the portraits.",4,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,8700,10000,4800,9500,6000,7200,3500,7200,5100,10000,7200,2,3,2,2,2,1,2,53
"34",35,1981,"Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all",0,"Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree",1,"Graduate degree","Female",5,1300,4,1400,2,4600,10,2100,7,400,3,5400,8,5700,6,2500,1,5800,9,5400,"$60,000-$79,999","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Conservative","No","5c77ebd4eaf40f0001c8ee7f","Caucasian","6050308f1fd68e47a0251a5a","605012aa337705b7329e7998","{'attCheckEnd': 200753, 'consentEnd': 28858, 'demographicsEnd': 270401, 'introEnd': 50714, 'study0End': 88306, 'studyEnd': 190401}","pre",200753,28858,270401,50714,88306,190401,"They were really impressively lovely.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100,5800,400,1300,5700,2500,5400,4600,5400,1400,3460,0,0,0,0,0,0,0,40
"35",36,1996,"Somewhat","Moderately","Not at all","Extremely","Moderately","Extremely","Extremely",0,"Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree",1,"Bachelor's degree or lower","Male",1,1000,6,1400,3,200,7,100,5,1400,8,3200,4,2000,9,4400,10,3200,2,5400,"$100,000-$150,000","Not at all","Not at all","Not at all","Not at all","Extremely","Not at all","Extremely","Somewhat liberal","No","5c89bf9c54effd0016d7285b","Caucasian","605030f102232cf09dd6a0a4","605012aa337705b7329e7998","{'attCheckEnd': 162952, 'consentEnd': 15867, 'demographicsEnd': 212316, 'introEnd': 26086, 'study0End': 112395, 'studyEnd': 149528}","post",162952,15867,212316,26086,112395,149528,"The images looked great",2,3,0,4,3,4,4,2.66666666666667,0,0,0,0,4,0,4,0.666666666666667,3200,1000,100,1400,3200,1400,4400,5400,200,2000,2230,0,1,0,1,0,0,0.333333333333333,25
"36",37,1966,"Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Moderately",0,"Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree",0,"Graduate degree","Female",9,8200,7,5800,8,3700,6,2800,2,1900,5,4000,1,6400,4,1100,3,700,10,100,"$100,000-$150,000","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Conservative","No","5cba516e29d3a900018b8112","Caucasian","605040d330b87918b2b32f09","605012aa337705b7329e7998","{'attCheckEnd': 174414, 'consentEnd': 3803, 'demographicsEnd': 243632, 'introEnd': 14990, 'study0End': 122128, 'studyEnd': 158322}","post",174414,3803,243632,14990,122128,158322,"",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,100,6400,5800,4000,3700,2800,8200,1900,700,1100,3470,0,1,0,4,0,0,0.833333333333333,55
"37",38,1983,"Not at all","Slightly","Somewhat","Somewhat","Not at all","Moderately","Moderately",0,"Strongly Disagree","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree",0,"Bachelor's degree or lower","Male",5,3100,2,4000,4,2400,9,4700,8,3800,7,3200,1,2400,10,2000,6,2200,3,2900,"$60,000-$79,999","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat","Not at all","Moderate","No","5cbc071f2edc3b00018ab097","Asian","605041987c5529fe6f13ddf8","605012aa337705b7329e7998","{'attCheckEnd': 123969, 'consentEnd': 5965, 'demographicsEnd': 157423, 'introEnd': 17466, 'study0End': 63039, 'studyEnd': 115932}","post",123969,5965,157423,17466,63039,115932,"They were good ",0,1,2,2,0,3,3,1.33333333333333,0,0,0,0,0,2,0,0.333333333333333,2000,2400,3200,3100,3800,2200,4700,4000,2900,2400,3070,0,1,1,3,1,1,1.16666666666667,38
"38",39,1966,"Moderately","Not at all","Not at all","Moderately","Moderately","Moderately","Extremely",0,"Strongly Agree","Strongly Disagree","Neither Agree nor Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree",1,"Associate degree or lower","Male",7,0,8,100,10,0,3,0,9,100,2,100,6,0,4,0,1,100,5,0,"$20,000-$39,999","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Liberal","No","5cbe00898f939c0017c0b9d8","Caucasian","60504139574a81aebfed9156","605012aa337705b7329e7998","{'attCheckEnd': 171620, 'consentEnd': 10943, 'demographicsEnd': 239129, 'introEnd': 41702, 'study0End': 94366, 'studyEnd': 154001}","pre",171620,10943,239129,41702,94366,154001,"I liked some of them but did not like others.  They were all a bit blurry and abstract for my taste.",3,0,0,3,3,3,4,2,0,0,0,0,0,0,0,0,0,100,0,0,100,0,100,100,0,0,40,0,2,0,0,0,0,0.333333333333333,55
"39",40,1986,"Somewhat","Not at all","Not at all","Somewhat","Not at all","Moderately","Extremely",0,"Strongly Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Strongly Disagree","Somewhat Disagree",0,"Bachelor's degree or lower","Male",8,4600,3,600,10,3400,9,1300,5,3200,4,2500,7,700,1,3600,2,5200,6,4000,"$40,000-$59,999","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Moderate","No","5cc8039e3ef93000171c96b8","Caucasian","6050409533994eff042fabc2","605012aa337705b7329e7998","{'attCheckEnd': 111025, 'consentEnd': 8114, 'demographicsEnd': 148733, 'introEnd': 29609, 'study0End': 64819, 'studyEnd': 95315}","post",111025,8114,148733,29609,64819,95315,"I wasn't too impressed, they didn't seem very smooth",2,0,0,2,0,3,4,1.16666666666667,0,0,0,0,0,0,0,0,3400,3600,700,3200,4600,4000,1300,5200,600,2500,2910,1,0,1,3,0,1,1,35
"40",41,2000,"Moderately","Slightly","Extremely","Extremely","Moderately","Moderately","Extremely",0,"Strongly Disagree","Neither Agree nor Disagree","Somewhat Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Disagree","Neither Agree nor Disagree",0,"High school or lower","Female",7,0,2,200,9,1000,4,500,3,500,5,900,6,500,1,700,10,700,8,800,"$60,000-$79,999","Not at all","Slightly","Not at all","Not at all","Not at all","Not at all","Moderately","Liberal","No","5cd86ae74d179d001c529678","Caucasian","605041565100888a8e6e7b72","605012aa337705b7329e7998","{'attCheckEnd': 499311, 'consentEnd': 51684, 'demographicsEnd': 550138, 'introEnd': 246920, 'study0End': 460272, 'studyEnd': 495344}","post",499311,51684,550138,246920,460272,495344,"",3,1,4,4,3,3,4,3,0,1,0,0,0,0,3,0.166666666666667,700,700,0,900,800,500,1000,200,500,500,580,2,1,2,2,1,2,1.66666666666667,21
"41",43,1997,"Extremely","Slightly","Slightly","Extremely","Somewhat","Slightly","Slightly",0,"Strongly Agree","Strongly Disagree","Neither Agree nor Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree",0,"Associate degree or lower","Female",2,500,3,200,5,5500,9,800,4,5500,1,3000,6,7000,10,5500,8,1000,7,10000,"$40,000-$59,999","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat liberal","No","5ce330b9c536f50001104f78","Caucasian","60505541803b0eab2746a625","605012aa337705b7329e7998","{'attCheckEnd': 244023, 'consentEnd': 18951, 'demographicsEnd': 288972, 'introEnd': 40740, 'study0End': 102321, 'studyEnd': 228294}","pre",244023,18951,288972,40740,102321,228294,"im surprised they were created by an AI program. ",4,1,1,4,2,1,1,2.16666666666667,0,0,0,0,0,0,0,0,5500,3000,10000,5500,1000,7000,800,500,200,5500,3900,0,2,0,0,0,0,0.333333333333333,24
"42",44,1995,"Slightly","Not at all","Slightly","Slightly","Slightly","Slightly","Extremely",0,"Strongly Disagree","Strongly Disagree","Neither Agree nor Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Disagree",0,"Some college","Male",10,1500,2,100,4,2000,8,5000,7,0,3,100,9,500,5,1000,1,100,6,1000,"$40,000-$59,999","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Moderately","Moderate","No","5cfa77e907f7dd0001b163b7","Caucasian","60501e9ee02dbf24208a9cef","605012aa337705b7329e7998","{'attCheckEnd': 182366, 'consentEnd': 5032, 'demographicsEnd': 250131, 'introEnd': 19398, 'study0End': 120620, 'studyEnd': 172539}","post",182366,5032,250131,19398,120620,172539,"",1,0,1,1,1,1,4,0.833333333333333,0,0,0,0,0,0,3,0,1500,100,0,1000,5000,1000,500,100,100,2000,1130,0,2,0,0,0,1,0.5,26
"43",45,1980,"Somewhat","Not at all","Slightly","Slightly","Not at all","Slightly","Somewhat",1,"Strongly Agree","Strongly Disagree","Somewhat Disagree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree",0,"Some college","Male",9,800,2,1100,3,300,5,200,6,1700,7,200,8,1400,1,300,4,1000,10,500,"$100,000-$150,000","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat liberal","No","5cfc4af8a224000001675ec8","","6050409f39840be962174ae8","605012aa337705b7329e7998","{'attCheckEnd': 149596, 'consentEnd': 14116, 'demographicsEnd': 199942, 'introEnd': 35470, 'study0End': 69048, 'studyEnd': 140816}","pre",149596,14116,199942,35470,69048,140816,"one of the questions said, ""is able of thinking"" but that is not grammatically correct. It should say ""is capable of thinking"" or ""is able to think""",2,0,1,1,0,1,2,0.833333333333333,0,0,0,0,0,0,0,0,500,300,200,200,1400,1700,800,1100,300,1000,750,0,1,2,3,1,3,1.66666666666667,41
"44",46,1996,"Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all",0,"Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Strongly Disagree",0,"Graduate degree","Female",1,1000,2,1200,9,500,4,400,5,400,3,800,10,100,6,200,8,400,7,400,"$40,000-$59,999","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Slightly","Somewhat liberal","No","5d1a611734f57200164d4cd5","Caucasian","60502bcba4faf03eaecd801e","605012aa337705b7329e7998","{'attCheckEnd': 237924, 'consentEnd': 5559, 'demographicsEnd': 303826, 'introEnd': 18486, 'study0End': 199896, 'studyEnd': 229233}","post",237924,5559,303826,18486,199896,229233,"I liked them. I thought they were all pretty.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,1000,400,400,400,200,500,1200,800,400,540,1,1,3,2,3,0,1.66666666666667,25
"45",47,1988,"Somewhat","Somewhat","Extremely","Somewhat","Somewhat","Somewhat","Extremely",1,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Strongly Disagree",1,"Associate degree or lower","Male",1,6000,7,3000,10,5000,8,7000,6,3000,4,3000,9,5000,5,3000,2,2000,3,3000,"$60,000-$79,999","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat","Liberal","No","5d1c058acce35a001b57bbab","Caucasian","605041fff4e4a6d97d9332b3","605012aa337705b7329e7998","{'attCheckEnd': 212135, 'consentEnd': 13558, 'demographicsEnd': 277452, 'introEnd': 35476, 'study0End': 160116, 'studyEnd': 199090}","post",212135,13558,277452,35476,160116,199090,"",2,2,4,2,2,2,4,2.33333333333333,0,0,0,0,0,0,2,0,5000,6000,3000,3000,7000,3000,5000,2000,3000,3000,4000,0,0,0,3,0,0,0.5,33
"46",49,2000,"Moderately","Somewhat","Somewhat","Extremely","Slightly","Somewhat","Somewhat",0,"Strongly Agree","Somewhat Disagree","Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Neither Agree nor Disagree",0,"Bachelor's degree or lower","Female",7,100,9,1000,5,1500,6,1500,4,1000,8,2000,1,2000,3,500,10,1000,2,1500,"$20,000-$39,999","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Slightly","Somewhat liberal","No","5d29120e4d046f0016a74a49","Asian","60502dc31acb314bb78f774c","605012aa337705b7329e7998","{'attCheckEnd': 154350, 'consentEnd': 12689, 'demographicsEnd': 199540, 'introEnd': 27449, 'study0End': 54976, 'studyEnd': 141267}","pre",154350,12689,199540,27449,54976,141267,"I feel like the pictures could have been created by a human if I was not told that an AI generated them.",3,2,2,4,1,2,2,2.33333333333333,0,0,0,0,0,0,1,0,1000,2000,100,1500,2000,1500,1000,1500,500,1000,1210,1,2,1,1,1,2,1.33333333333333,21
"47",50,1996,"Slightly","Not at all","Slightly","Moderately","Somewhat","Not at all","Moderately",0,"Strongly Disagree","Somewhat Disagree","Strongly Disagree","Strongly Agree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree",0,"Some college","Female",5,200,1,600,4,100,10,300,9,700,7,700,8,700,3,800,6,500,2,800,"$40,000-$59,999","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat conservative","No","5d5472ab93d6940001c3c35d","Caucasian","605041fd5cc74f9efde0dab7","605012aa337705b7329e7998","{'attCheckEnd': 142182, 'consentEnd': 5379, 'demographicsEnd': 191621, 'introEnd': 18468, 'study0End': 104035, 'studyEnd': 135165}","post",142182,5379,191621,18468,104035,135165,"Images were very nice!",1,0,1,3,2,0,3,1.16666666666667,0,0,0,0,0,0,0,0,300,600,700,200,700,500,700,800,800,100,540,1,0,4,1,1,0,1.16666666666667,25
"48",51,1995,"Not at all","Not at all","Not at all","Somewhat","Not at all","Not at all","Moderately",0,"Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree",0,"Bachelor's degree or lower","Male",3,100,7,100,6,500,8,200,4,600,2,200,9,100,5,600,1,100,10,800,"$60,000-$79,999","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat conservative","No","5d597b6debafee0001a82b53","Hispanic","60502e0556482e761f1e1dbb","605012aa337705b7329e7998","{'attCheckEnd': 124020, 'consentEnd': 7029, 'demographicsEnd': 162174, 'introEnd': 21834, 'study0End': 47663, 'studyEnd': 115693}","pre",124020,7029,162174,21834,47663,115693,"",0,0,0,2,0,0,3,0.333333333333333,0,0,0,0,0,0,0,0,800,100,100,600,200,500,100,200,100,600,330,0,0,0,0,0,0,0,26
"49",52,2001,"Somewhat","Moderately","Slightly","Moderately","Somewhat","Somewhat","Moderately",1,"Strongly Agree","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Neither Agree nor Disagree","Strongly Disagree","Somewhat Disagree",1,"Some college","Male",9,300,5,1000,10,700,3,100,4,700,1,500,8,300,2,200,7,0,6,600,"$60,000-$79,999","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Moderate","No","5d678decbf4f9a00199936aa","Caucasian","60501ec27c08db6d9ae23ff5","605012aa337705b7329e7998","{'attCheckEnd': 187020, 'consentEnd': 12217, 'demographicsEnd': 236366, 'introEnd': 31006, 'study0End': 67872, 'studyEnd': 176672}","pre",187020,12217,236366,31006,67872,176672,"Portraits looked pretty real, the scenery paintings looked a little glitched out.",2,3,1,3,2,2,3,2.16666666666667,0,0,0,0,0,0,0,0,700,500,0,1000,300,600,300,200,100,700,440,0,1,1,2,0,1,0.833333333333333,20
"50",53,1998,"Not at all","Not at all","Somewhat","Slightly","Somewhat","Slightly","Slightly",0,"Strongly Agree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Somewhat Disagree",1,"Associate degree or lower","Male",10,1000,7,100,2,2800,5,6100,1,7900,4,1400,3,300,9,1600,8,5900,6,4200,"$60,000-$79,999","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat liberal","No","5d93f4f22bde0400161aca3f","Hispanic","60504414df3b6b80d25f8a81","605012aa337705b7329e7998","{'attCheckEnd': 229622, 'consentEnd': 12953, 'demographicsEnd': 280076, 'introEnd': 24686, 'study0End': 79597, 'studyEnd': 188784}","pre",229622,12953,280076,24686,79597,188784,"Some were really ugly but some look god, like something you'd see in a museum",0,0,2,1,2,1,1,1,0,0,0,0,0,0,0,0,1000,7900,100,6100,5900,4200,1600,2800,300,1400,3130,0,1,0,3,0,1,0.833333333333333,23
"51",54,1995,"Moderately","Slightly","Somewhat","Extremely","Extremely","Not at all","Extremely",1,"Strongly Agree","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree",0,"Bachelor's degree or lower","Female",10,500,4,200,2,300,6,600,9,900,7,100,8,300,5,300,3,100,1,300,"Less than $20,000","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat","Somewhat liberal","No","5dafab925f543b00191fb7ca","Asian","605041cf67cf6d538f085ca7","605012aa337705b7329e7998","{'attCheckEnd': 126143, 'consentEnd': 8396, 'demographicsEnd': 172998, 'introEnd': 19331, 'study0End': 55673, 'studyEnd': 119458}","pre",126143,8396,172998,19331,55673,119458,"The style is very consistent, you can tell it is by the same artist.",3,1,2,4,4,0,4,2.33333333333333,0,0,0,0,0,0,2,0,500,300,100,300,300,600,900,300,100,200,360,0,1,3,3,2,1,1.66666666666667,26
"52",55,1995,"Not at all","Somewhat","Not at all","Moderately","Not at all","Somewhat","Slightly",0,"Strongly Disagree","Somewhat Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Disagree","Neither Agree nor Disagree","Somewhat Disagree",1,"Bachelor's degree or lower","Female",4,4700,8,7000,3,6700,1,5000,10,3200,2,1700,5,4600,6,5600,9,8100,7,3300,"$20,000-$39,999","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Slightly","Somewhat liberal","No","5dcb1023a67bd47e796516b5","Asian","6050552fd7c34f1727575af1","605012aa337705b7329e7998","{'attCheckEnd': 1224798, 'consentEnd': 1088773, 'demographicsEnd': 1305651, 'introEnd': 1099081, 'study0End': 1162407, 'studyEnd': 1204711}","post",1224798,1088773,1305651,1099081,1162407,1204711,"",0,2,0,3,0,2,1,1.16666666666667,0,0,0,0,0,0,1,0,3200,5000,3300,4600,7000,5600,8100,1700,6700,4700,4990,1,2,2,1,2,1,1.5,26
"53",56,1969,"Somewhat","Not at all","Somewhat","Not at all","Not at all","Not at all","Slightly",0,"Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Neither Agree nor Disagree","Somewhat Disagree","Neither Agree nor Disagree",0,"Bachelor's degree or lower","Female",6,500,4,300,3,100,8,0,1,100,7,200,2,400,9,100,10,200,5,0,"$40,000-$59,999","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat liberal","No","5dd348356d522535afddc44e","Caucasian","6050311021eaacd0c73e7c42","605012aa337705b7329e7998","{'attCheckEnd': 262725, 'consentEnd': 13328, 'demographicsEnd': 315794, 'introEnd': 30964, 'study0End': 207828, 'studyEnd': 247111}","post",262725,13328,315794,30964,207828,247111,"Some looked good, some looked off.  I don't know that much about art muchless values of pieces. Overall, some looked better than others. ",2,0,2,0,0,0,1,0.666666666666667,0,0,0,0,0,0,0,0,200,100,200,0,0,500,100,400,100,300,190,1,1,1,2,1,2,1.33333333333333,52
"54",57,2000,"Not at all","Slightly","Not at all","Slightly","Slightly","Not at all","Somewhat",0,"Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",1,"Some college","Male",7,0,9,100,1,100,6,200,3,200,4,100,10,100,5,400,8,100,2,100,"$60,000-$79,999","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Liberal","No","5dd8829941afe883821a94c4","Asian","605041f957a15ea03a39e206","605012aa337705b7329e7998","{'attCheckEnd': 375579, 'consentEnd': 21516, 'demographicsEnd': 419536, 'introEnd': 93204, 'study0End': 315263, 'studyEnd': 336862}","post",375579,21516,419536,93204,315263,336862,"I think they look human made.",0,1,0,1,1,0,2,0.5,0,0,0,0,0,0,0,0,100,100,0,400,100,200,100,100,200,100,140,1,1,1,1,1,1,1,21
